note,target_hz,block,elapsed_s,gesture,rms,algorithm,frequency_hz,cents
D5,587.3295358348151,20,5.021403410995845,free sweep (81% of recording),0.012027191929519176,librosa,593.8923569482677,19.23753081256556
D5,587.3295358348151,21,5.263257761020213,free sweep (85% of recording),0.011311649344861507,loiacono,600.1996719877817,37.52680809543559
D5,587.3295358348151,21,5.266171777009731,free sweep (85% of recording),0.011311649344861507,librosa,594.1644763540622,20.030594537727882
D5,587.3295358348151,22,5.525101348001044,free sweep (90% of recording),0.011421816423535347,loiacono,587.3897466584476,0.17747053213410396
D5,587.3295358348151,22,5.528641077980865,free sweep (90% of recording),0.011421816423535347,librosa,591.5134725327949,12.289005463497606
D5,587.3295358348151,23,5.772209843999008,free sweep (94% of recording),0.010712170042097569,loiacono,593.433042024382,17.898080522307648
D5,587.3295358348151,23,5.7756078179809265,free sweep (94% of recording),0.010712170042097569,librosa,589.4022351104305,6.098809191706398
D5,587.3295358348151,24,6.0136141090188175,free sweep (98% of recording),0.010828548111021519,loiacono,591.8260379044272,13.203576170789564
D5,587.3295358348151,24,6.017494518018793,free sweep (98% of recording),0.010828548111021519,librosa,593.1173790207042,16.976945536052934
E5,659.2551138257398,1,0.26368526299484074,free sweep ( 2% of recording),0.010266256518661976,loiacono,730.7451059813005,178.2376857838829
E5,659.2551138257398,1,0.2669575210020412,free sweep ( 2% of recording),0.010266256518661976,librosa,787.5,307.7316796999778
E5,659.2551138257398,2,0.5128914439992514,free sweep ( 6% of recording),0.010279575362801552,loiacono,630.8740385285905,-76.18184912332772
E5,659.2551138257398,2,0.5159377990057692,free sweep ( 6% of recording),0.010279575362801552,librosa,787.5,307.7316796999778
E5,659.2551138257398,3,0.7678187370183878,free sweep (10% of recording),0.010283967480063438,loiacono,690.4888651174767,80.13755107675651
E5,659.2551138257398,3,0.7708069520012941,free sweep (10% of recording),0.010283967480063438,librosa,716.1447517814229,143.29724001348512
E5,659.2551138257398,4,1.0158829459978733,free sweep (15% of recording),0.010848749428987503,loiacono,676.7158006301021,45.25586079455368
E5,659.2551138257398,4,1.0186235669825692,free sweep (15% of recording),0.010848749428987503,librosa,679.2568718415085,51.74447850983142
E5,659.2551138257398,5,1.266687273979187,free sweep (19% of recording),0.011465172283351421,loiacono,673.1325422253915,36.064497096465566
E5,659.2551138257398,5,1.2698368719720747,free sweep (19% of recording),0.011465172283351421,librosa,676.9047869989727,45.73927489406497
E5,659.2551138257398,6,1.5151803769986145,free sweep (23% of recording),0.014270293526351452,loiacono,682.1516178460038,59.1066926238667
E5,659.2551138257398,6,1.5183891060005408,free sweep (23% of recording),0.014270293526351452,librosa,681.8791764792975,58.41512498675717
E5,659.2551138257398,7,1.7732669170072768,free sweep (27% of recording),0.014005646109580994,loiacono,694.5635908997939,90.32391526239422
E5,659.2551138257398,7,1.7763791650068015,free sweep (27% of recording),0.014005646109580994,librosa,686.9498700226686,71.24155863425872
E5,659.2551138257398,8,2.017601439001737,free sweep (31% of recording),0.012223804369568825,loiacono,681.1566427166739,56.57969975287559
E5,659.2551138257398,8,2.0217170089890715,free sweep (31% of recording),0.012223804369568825,librosa,684.4226284616773,64.86072250344785
E5,659.2551138257398,9,2.263866343011614,free sweep (35% of recording),0.011580209247767925,loiacono,671.4203415472186,31.655266710720507
E5,659.2551138257398,9,2.2667366670211777,free sweep (35% of recording),0.011580209247767925,librosa,677.2485066269466,46.61814014345929
E5,659.2551138257398,10,2.517429486004403,free sweep (40% of recording),0.010884997434914112,loiacono,659.1752353158544,-0.20977732553208092
E5,659.2551138257398,10,2.5219164330046624,free sweep (40% of recording),0.010884997434914112,librosa,671.1410455002692,30.934961720738556
E5,659.2551138257398,11,2.763658782991115,free sweep (44% of recording),0.01048288494348526,loiacono,678.7564478379194,50.46856891359481
E5,659.2551138257398,11,2.767901751998579,free sweep (44% of recording),0.01048288494348526,librosa,670.2672616133179,28.67953416367038
E5,659.2551138257398,12,3.0238957869878504,free sweep (48% of recording),0.010114230215549469,loiacono,653.9175608704444,-14.07370787057937
E5,659.2551138257398,12,3.027822152012959,free sweep (48% of recording),0.010114230215549469,librosa,668.0911467180752,23.0497006334943
E5,659.2551138257398,13,3.2729790069861338,free sweep (52% of recording),0.010599779896438122,loiacono,669.2017450658177,25.92522046657346
E5,659.2551138257398,13,3.2760780199896544,free sweep (52% of recording),0.010599779896438122,librosa,670.1522428015224,28.382426455081195
E5,659.2551138257398,14,3.522791494993726,free sweep (56% of recording),0.010412716306746006,loiacono,660.3066661419234,2.759224444281437
E5,659.2551138257398,14,3.5265205999894533,free sweep (56% of recording),0.010412716306746006,librosa,668.5022106118785,24.11456875935849
E5,659.2551138257398,15,3.772192300995812,free sweep (60% of recording),0.010360541753470898,loiacono,668.3240816352645,23.6532029812421
E5,659.2551138257398,15,3.774869282002328,free sweep (60% of recording),0.010360541753470898,librosa,678.4090368926747,49.582236808439276
E5,659.2551138257398,16,4.013969687017379,free sweep (65% of recording),0.0103862714022398,loiacono,673.8833113967404,37.99432930077482
E5,659.2551138257398,16,4.017514286009828,free sweep (65% of recording),0.0103862714022398,librosa,674.7536006561904,40.228695858846486
E5,659.2551138257398,17,4.26401685498422,free sweep (69% of recording),0.009667727164924145,loiacono,735.8879757328544,190.37916524178476
E5,659.2551138257398,17,4.267841488996055,free sweep (69% of recording),0.009667727164924145,librosa,706.325230769755,119.39493012763889
E5,659.2551138257398,18,4.51771357000689,free sweep (73% of recording),0.009664341807365417,loiacono,783.9908719634985,299.99999999999994
E5,659.2551138257398,18,4.5218653779884335,free sweep (73% of recording),0.009664341807365417,librosa,787.5,307.7316796999778
E5,659.2551138257398,19,4.762688193004578,free sweep (77% of recording),0.010196506045758724,loiacono,677.5214746755378,47.31578120865168
E5,659.2551138257398,19,4.766150977986399,free sweep (77% of recording),0.010196506045758724,librosa,675.4510762320211,42.01730405039571
E5,659.2551138257398,20,5.022805010987213,free sweep (81% of recording),0.01102366205304861,loiacono,675.3999324524472,41.886213571772025
E5,659.2551138257398,20,5.0261043699865695,free sweep (81% of recording),0.01102366205304861,librosa,673.1931462996646,36.220358100766255
E5,659.2551138257398,21,5.270638627000153,free sweep (85% of recording),0.010548337362706661,loiacono,672.8716063290374,35.39326422614153
E5,659.2551138257398,21,5.273749601998134,free sweep (85% of recording),0.010548337362706661,librosa,671.0491396343773,30.697870783325822
E5,659.2551138257398,22,5.511499493004521,free sweep (90% of recording),0.010171056725084782,loiacono,677.0289339277342,46.05676073172337
E5,659.2551138257398,22,5.515013905998785,free sweep (90% of recording),0.010171056725084782,librosa,670.2499978151518,28.63494290608963
E5,659.2551138257398,23,5.7628063750162255,free sweep (94% of recording),0.009923656471073627,loiacono,672.5151962627436,34.47601239128883
E5,659.2551138257398,23,5.766724515007809,free sweep (94% of recording),0.009923656471073627,librosa,669.3305059664287,26.25829463171553
E5,659.2551138257398,24,6.013479196000844,free sweep (98% of recording),0.010280744172632694,loiacono,681.6507565510909,57.8350887861336
E5,659.2551138257398,24,6.017415890994016,free sweep (98% of recording),0.010280744172632694,librosa,669.6736821977481,27.14569796435668
F#5,739.9888454232688,1,0.26330158399650827,free sweep ( 2% of recording),0.009788993746042252,loiacono,671.956483858504,-166.96286059924955
F#5,739.9888454232688,1,0.26501019901479594,free sweep ( 2% of recording),0.009788993746042252,librosa,701.7534852925536,-91.84703973575067
